Calendar_Year,Sector_General,Sector_Detail1,Sector_Detail2,Sector_GPC,Sector_GPC_Detail,Commodity_Type,Emissions_mtCO2e,Biogenic_Emissions_mtCO2e,Quantity,Quantity_Units
1990,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Propane,84.04,0.00,14202.93,gallons
1990,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,98658.82,0.00,24710537.48,Therm
1990,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Natural Gas,951800.25,0.00,194935767.40,Therm
1990,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,430629.57,0.00,86521277.78,Therm
1990,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,27845.87,0.00,669655.57,Therm
1990,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,18598.17,0.00,447260.73,Therm
1990,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,90691.48,0.00,1566035.13,Therm
1990,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,135786.68,0.00,2344726.63,Therm
1990,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,179423.77,0.00,3528337.39,Therm
1990,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,268640.01,0.00,5282759.30,Therm
1990,Buildings,Residential,PG&E Residential Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,52538.19,0.00,125639149.10,kWh
1990,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Electricity,516752.01,0.00,1235754011.00,kWh
1990,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Traction,Electricity,89569.84,0.00,206253870.00,kWh
1990,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Electricity,3500.71,0.00,53156171.00,kWh
1990,Buildings,Direct Access,PG&E Direct Access Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,12253.92,0.00,15733743.85,kWh
1990,Buildings,Direct Access,PG&E Direct Access,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,221389.73,0.00,284259148.20,kWh
1990,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,141270.31,0.00,358212305.50,kWh
1990,Municipal,Municipal Buildings,SFPUC Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,50402.31,0.00,765327829.00,kWh
1990,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,1389498.07,0.00,3523283120.00,kWh
1990,Wastewater,Wastewater (Digester Gas),Wastewater (Digester Gas),Stationary,Commercial & Institutional Buildings and Facilities,Sludge gas,90.24,15734.91,288967.06,MMBTU
2000,Buildings,Residential,CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable CNG,0.00,0.00,0.00,gallons
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B20,0.00,0.00,0.00,gallons
2000,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Other Power Contracts,Electricity,0.00,0.00,0.00,kWh
2000,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit PG&E,Electricity,0.00,0.00,0.00,kWh
2000,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B20,0.00,0.00,0.00,gallons
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,CNG,0.00,0.00,0.00,gallons
2000,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0.00,0.00,0.00,Therm
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B100,0.00,0.00,0.00,gallons
2000,Buildings,Residential,CleanPowerSF Residential Green Product,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2000,Buildings,Residential,CleanPowerSF Residential SuperGreen Product,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B5,0.00,0.00,0.00,gallons
2000,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,0.00,0.00,0.00,Therm
2000,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0.00,0.00,0.00,Therm
2000,Buildings,Commercial & Industrial,CleanPowerSF Commercial SuperGreen Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Buildings,Commercial & Industrial,PG&E District Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B5,0.00,0.00,0.00,gallons
2000,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Renewable Diesel,0.00,0.00,0.00,gallons
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Renewable Diesel,0.00,0.00,0.00,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable Diesel,0.00,0.00,0.00,gallons
2000,Transportation,Diesel - Ships and Boats (non-Ferry),Diesel - Ships and Boats (non-Ferry),Transportation,Waterborne Navigation - non-Ferry,Diesel,242457.18,0.00,0.00,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Animal Waste,68745.37,0.00,0.00,mtCO2e
2000,Buildings,Commercial & Industrial,Additional Stationary Sources,Stationary,Energy Industries,Gas Oil,70.50,0.00,0.00,mtCO2e
2000,Buildings,Residential,Other Residential Fuel Usage,Stationary,Commercial & Institutional Buildings and Facilities,"LPGas, Liquid fuel, solid fuel",23655.00,0.00,0.00,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,Stationary,"Agriculture, Forestry and Fishing Activities",Other Unspecified Fuels,109.00,0.00,0.00,mtCO2e
2000,Transportation,Off-Road Equipment,Off-Road Equipment,Stationary,Non-specified Sources,Other Unspecified Fuels,177572.23,0.00,0.00,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Other Unspecified Fuels,5346.90,0.00,0.00,mtCO2e
2000,Buildings,Commercial & Industrial,Steam - NRG,Stationary,Commercial & Institutional Buildings and Facilities,Steam,64223.61,0.00,12101591.25,Therm
2000,Wastewater,Wastewater (Fugitive),Wastewater (Fugitive),Waste,Wastewater Treatment and Discharge,Fugitive Emissions,3712.09,0.00,9769.31,Avg kgN/day
2000,Landfilled Organics,Landfilled Organics,Landfilled Organics,Waste,Solid Waste Disposal,Solid Waste,480406.86,0.00,872731.00,tons
2000,Transportation,Cars & Trucks,Cars & Trucks,Transportation,On-road Transportation - Cars and Trucks,Gasoline,2205904.16,0.00,3880000000.00,miles
2000,Wastewater,Wastewater (Process),Wastewater (Process),Waste,Wastewater Treatment and Discharge,Process Emissions,823.45,0.00,773312.00,people
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Diesel,10570.82,0.00,289173.69,gallons
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Diesel,53781.75,0.00,5267362.00,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Propane,81.56,0.00,13782.73,gallons
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Diesel,58.44,0.00,5721.52,gallons
2000,Transportation,Public Transportation,Rail - Caltrain,Transportation,Railways - Caltrain,Diesel,8536.91,0.00,841071.00,gallons
2000,Transportation,Public Transportation,Ferry,Transportation,Waterborne Navigation - Ferry,Diesel,99967.83,0.00,9849000.00,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,CNG,2340.36,0.00,375112.62,gallons
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Gasoline,242.77,0.00,27607.58,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Gasoline,21006.28,0.00,2333697.40,gallons
2000,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Diesel,3320.19,0.00,325054.50,gallons
2000,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Natural Gas,835614.78,0.00,159290054.70,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,131379.36,0.00,28621672.74,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,527726.83,0.00,101493370.30,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,166403.52,0.00,2750470.34,Therm
2000,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,235847.35,0.00,4316760.48,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,37081.05,0.00,775647.33,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,111140.36,0.00,1837030.00,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,24766.31,0.00,518052.28,Therm
2000,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,157521.66,0.00,2883149.99,Therm
2000,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Traction,Electricity,91033.98,0.00,268130030.00,kWh
2000,Buildings,Residential,PG&E Residential Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,59620.46,0.00,149259251.20,kWh
2000,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Electricity,586411.30,0.00,1468075195.00,kWh
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Electricity,6448.38,0.00,95047340.00,kWh
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,120516.23,0.00,322769519.60,kWh
2000,Buildings,Direct Access,PG&E Direct Access Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,8947.50,0.00,17020244.23,kWh
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,1185366.33,0.00,3174677091.00,kWh
2000,Buildings,Direct Access,PG&E Direct Access,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,161653.12,0.00,307502154.10,kWh
2000,Municipal,Municipal Buildings,SFPUC Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,63646.59,0.00,938133000.00,kWh
2000,Wastewater,Wastewater (Digester Gas),Wastewater (Digester Gas),Stationary,Commercial & Institutional Buildings and Facilities,Sludge gas,97.02,16917.79,310690.25,MMBTU
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,0.00,0.00,0.00,Therm
2005,Buildings,Commercial & Industrial,PG&E District Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Residential,CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Residential,CleanPowerSF Residential Green Product,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0.00,0.00,0.00,Therm
2005,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0.00,0.00,0.00,Therm
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable CNG,0.00,0.00,0.00,gallons
2005,Buildings,Residential,CleanPowerSF Residential SuperGreen Product,Stationary,Residential Buildings,Electricity,0.00,0.00,0.00,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B5,0.00,0.00,0.00,gallons
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial SuperGreen Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0.00,0.00,0.00,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B20,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit PG&E,Electricity,0.00,0.00,0.00,kWh
2005,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Other Power Contracts,Electricity,0.00,0.00,0.00,kWh
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B5,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,CNG,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B20,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B100,0.00,0.00,0.00,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable Diesel,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Renewable Diesel,0.00,0.00,0.00,gallons
2005,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Renewable Diesel,0.00,0.00,0.00,gallons
2005,Transportation,Diesel - Ships and Boats (non-Ferry),Diesel - Ships and Boats (non-Ferry),Transportation,Waterborne Navigation - non-Ferry,Diesel,273327.12,0.00,0.00,mtCO2e
2005,Buildings,Commercial & Industrial,Additional Stationary Sources,Stationary,Energy Industries,Gas Oil,70.50,0.00,0.00,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,Stationary,"Agriculture, Forestry and Fishing Activities",Other Unspecified Fuels,109.00,0.00,0.00,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Animal Waste,75903.37,0.00,0.00,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Other Unspecified Fuels,5346.90,0.00,0.00,mtCO2e
2005,Transportation,Off-Road Equipment,Off-Road Equipment,Stationary,Non-specified Sources,Other Unspecified Fuels,150950.47,0.00,0.00,mtCO2e
2005,Buildings,Residential,Other Residential Fuel Usage,Stationary,Commercial & Institutional Buildings and Facilities,"LPGas, Liquid fuel, solid fuel",23655.00,0.00,0.00,mtCO2e
2005,Wastewater,Wastewater (Fugitive),Wastewater (Fugitive),Waste,Wastewater Treatment and Discharge,Fugitive Emissions,3641.13,0.00,9582.57,Avg kgN/day
2005,Wastewater,Wastewater (Process),Wastewater (Process),Waste,Wastewater Treatment and Discharge,Process Emissions,807.71,0.00,780187.00,people
2005,Buildings,Commercial & Industrial,Steam - NRG,Stationary,Commercial & Institutional Buildings and Facilities,Steam,64223.61,0.00,12101591.25,Therm
2005,Transportation,Cars & Trucks,Cars & Trucks,Transportation,On-road Transportation - Cars and Trucks,Gasoline,2053822.63,0.00,3777853741.00,miles
2005,Landfilled Organics,Landfilled Organics,Landfilled Organics,Waste,Solid Waste Disposal,Solid Waste,365526.16,0.00,664033.00,tons
2005,Transportation,Public Transportation,Rail - Caltrain,Transportation,Railways - Caltrain,Diesel,13729.48,0.00,1352652.00,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Gasoline,242.77,0.00,27607.58,gallons
2005,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Diesel,3320.19,0.00,325054.50,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Diesel,10615.79,0.00,290403.90,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,CNG,2515.97,0.00,403258.91,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Diesel,58.44,0.00,5721.52,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Gasoline,20488.34,0.00,2276156.86,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Propane,87.68,0.00,14816.91,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Diesel,52188.23,0.00,5111293.00,gallons
